"","client_id","birth_number","district_id","client_age","gender"
"1",1,"706213",18,47,"F"
"2",2,"450204",1,72,"M"
"3",3,"406009",1,77,"F"
"4",4,"561201",5,61,"M"
"5",5,"605703",5,57,"F"
"6",6,"190922",12,98,"M"
"7",7,"290125",15,88,"M"
"8",8,"385221",51,79,"F"
"9",9,"351016",60,82,"M"
"10",10,"430501",57,74,"M"
"11",11,"505822",57,67,"F"
"12",12,"810220",40,36,"M"
"13",13,"745529",54,43,"F"
"14",14,"425622",76,75,"F"
"15",15,"185828",21,99,"F"
"16",16,"190225",21,98,"M"
"17",17,"341013",76,83,"M"
"18",18,"315405",76,86,"F"
"19",19,"421228",47,75,"M"
"20",20,"790104",46,38,"M"
"21",21,"526029",12,65,"F"
"22",22,"696011",1,48,"F"
"23",23,"730529",1,44,"M"
"24",24,"395729",43,78,"F"
"25",25,"395423",21,78,"F"
"26",26,"695420",74,48,"F"
"27",27,"665326",54,51,"F"
"28",28,"450929",1,72,"M"
"29",29,"515911",30,66,"F"
"30",30,"576009",74,60,"F"
"31",31,"620209",68,55,"M"
"32",32,"800728",52,37,"M"
"33",33,"486204",73,69,"F"
"34",36,"785717",7,39,"F"
"35",37,"700810",7,47,"M"
"36",38,"735723",36,44,"F"
"37",39,"680125",68,49,"M"
"38",40,"575122",5,60,"F"
"39",41,"680827",22,49,"M"
"40",42,"350817",68,82,"M"
"41",43,"201028",75,97,"M"
"42",44,"775111",38,40,"F"
"43",45,"520826",20,65,"M"
"44",46,"405130",19,77,"F"
"45",47,"340714",76,83,"M"
"46",48,"400209",16,77,"M"
"47",49,"595511",72,58,"F"
"48",50,"785730",39,39,"F"
"49",51,"796202",36,38,"F"
"50",52,"241212",32,93,"M"
"51",53,"770505",64,40,"M"
"52",55,"485918",45,69,"F"
"53",56,"600331",21,57,"M"
"54",57,"616217",21,56,"F"
"55",58,"275429",1,90,"F"
"56",59,"570218",1,60,"M"
"57",60,"800219",67,37,"M"
"58",61,"485806",16,69,"F"
"59",62,"321208",77,85,"M"
"60",63,"590604",4,58,"M"
"61",64,"260422",20,91,"M"
"62",65,"435527",50,74,"F"
"63",66,"516110",1,66,"F"
"64",67,"326111",29,85,"F"
"65",68,"461214",43,71,"M"
"66",70,"251222",70,92,"M"
"67",71,"275206",70,90,"F"
"68",72,"230113",47,94,"M"
